;appid;name;Year;english;platforms_windows;platforms_mac;platforms_linux;genres_Action;genres_Free to Play;genres_Strategy;genres_Adventure;genres_Indie;genres_RPG;genres_Casual;genres_Simulation;genres_Racing;genres_Violent;genres_Massively Multiplayer;genres_Nudity;genres_Sports;genres_Early Access;genres_Gore;genres_Sexual Content;categories_Multi-player;categories_Online Multi-Player;categories_Local Multi-Player;categories_Valve Anti-Cheat enabled;categories_Single-player;categories_Steam Cloud;categories_Steam Achievements;categories_Steam Trading Cards;categories_Captions available;categories_Partial Controller Support;categories_Includes Source SDK;categories_Cross-Platform Multiplayer;categories_Stats;categories_Commentary available;categories_Includes level editor;categories_Steam Workshop;categories_In-App Purchases;categories_Co-op;categories_Full controller support;categories_Steam Leaderboards;categories_SteamVR Collectibles;categories_Online Co-op;categories_Shared/Split Screen;categories_Local Co-op;categories_MMO;categories_VR Support;categories_Mods;categories_Mods (require HL2);categories_Steam Turn Notifications;achievements;%_ratings;QTD_ratings;owners_mean;average_playtime_>0;price;log_price;log_log_price
0;10;Counter-Strike;2000;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9738881546534452;127873;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
1;20;Team Fortress Classic;1999;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8397873955960516;3951;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
2;30;Day of Defeat;2003;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8956476140534871;3814;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
3;40;Deathmatch Classic;2001;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8266233766233766;1540;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
4;50;Half-Life: Opposing Force;1999;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9479956663055255;5538;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
5;60;Ricochet;2000;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8012783265543288;3442;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
6;70;Half-Life;1998;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9618783573037601;28855;7500000.0;1;7.19;2.1029138978649784;1.1323416370519261
7;80;Counter-Strike: Condition Zero;2004;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8938712294416993;13559;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
8;130;Half-Life: Blue Shift;2001;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.900990099009901;4242;7500000.0;1;3.99;1.6074359097634274;0.958367328401236
9;220;Half-Life 2;2004;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0.9656006029493324;70321;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
10;240;Counter-Strike: Source;2004;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0.9563622296816702;80137;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
11;280;Half-Life: Source;2004;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7815352697095436;4820;3500000.0;1;0.0;0.0;0.0
12;300;Day of Defeat: Source;2010;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0.8965723566116762;11699;7500000.0;1;7.19;2.1029138978649784;1.1323416370519261
13;320;Half-Life 2: Deathmatch;2004;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8843837226384604;6807;15000000.0;1;3.99;1.6074359097634274;0.958367328401236
14;340;Half-Life 2: Lost Coast;2005;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8500661472879611;6803;15000000.0;1;0.0;0.0;0.0
15;360;Half-Life Deathmatch: Source;2006;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7422343324250681;1835;7500000.0;1;0.0;0.0;0.0
16;380;Half-Life 2: Episode One;2006;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0.9386350148367952;8425;7500000.0;1;5.79;1.9154509415706047;1.0700245047748609
17;400;Portal;2007;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0.9795767856129801;52881;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
18;420;Half-Life 2: Episode Two;2007;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0.9523222359227291;14598;7500000.0;1;5.79;1.9154509415706047;1.0700245047748609
19;440;Team Fortress 2;2007;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;520;0.9381067983233773;549915;35000000.0;1;0.0;0.0;0.0
20;500;Left 4 Dead;2008;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;73;0.9498386157997778;18899;7500000.0;1;7.19;2.1029138978649784;1.1323416370519261
21;550;Left 4 Dead 2;2009;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;70;0.9676488334287702;260207;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
22;570;Dota 2;2013;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0.8587102445738107;1005586;150000000.0;1;0.0;0.0;0.0
23;620;Portal 2;2011;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;51;0.9865035578933845;140111;15000000.0;1;7.19;2.1029138978649784;1.1323416370519261
